"substituent","sigma_meta","sigma_para","sigma_I","sigma_v","pi","Es","MR","heteroatom","effect_type","functional_class","sigma_diff","resonance_indicator"
"H",0,0,0,0,0,0,1.03,"C","neutral","reference",0,0
"CH3",-0.07,-0.17,-0.04,0.52,0.56,-1.24,5.65,"C","EDG","alkyl",0.1,0.1
"C2H5",-0.07,-0.15,-0.05,0.56,1.02,-1.31,10.3,"C","EDG","alkyl",0.08,0.08
"n-C3H7",-0.07,-0.13,-0.03,0.68,1.55,-1.6,14.96,"C","EDG","alkyl",0.06,0.06
"i-C3H7",-0.07,-0.15,-0.03,0.76,1.53,-1.71,14.96,"C","EDG","alkyl",0.08,0.08
"n-C4H9",-0.08,-0.16,-0.04,0.68,2.13,-1.63,19.61,"C","EDG","alkyl",0.08,0.08
"t-C4H9",-0.1,-0.2,-0.07,1.24,1.98,-2.78,19.62,"C","EDG","alkyl",0.1,0.1
"CH2=CH",0.05,-0.02,0.09,2.11,0.82,NA,10.99,"C","weak_EDG","unsaturated",0.07,0.07
"C6H5",0.06,-0.01,0.1,2.15,1.96,-3.82,25.36,"C","weak_EDG","aryl",0.07,0.07
"CH2Cl",0.11,0.12,0.15,0.6,0.17,-1.48,10.49,"Cl","weak_EWG","haloalkyl",-0.01,0.01
"CF3",0.43,0.54,0.42,0.91,0.88,-2.4,5.02,"F","EWG","haloalkyl",-0.11,0.11
"CN",0.56,0.66,0.53,0.4,-0.57,-0.51,6.33,"N","EWG","cyano",-0.1,0.1
"CHO",0.35,0.42,0.25,NA,-0.65,NA,6.88,"O","EWG","carbonyl",-0.07,0.07
"COCH3",0.38,0.5,0.29,0.5,-0.55,NA,11.18,"O","EWG","carbonyl",-0.12,0.12
"CO2H",0.37,0.45,0.39,1.45,-0.32,NA,6.93,"O","EWG","carbonyl",-0.08,0.08
"Si(CH3)3",-0.04,-0.07,-0.13,1.4,2.59,NA,24.96,"Si","weak_EDG","silyl",0.03,0.03
"F",0.34,0.06,0.52,0.27,0.14,-0.46,0.92,"F","EWG","halogen",0.28,0.28
"Cl",0.37,0.23,0.47,0.55,0.71,-0.97,6.03,"Cl","EWG","halogen",0.14,0.14
"Br",0.39,0.23,0.5,0.65,0.86,-1.16,8.88,"Br","EWG","halogen",0.16,0.16
"I",0.35,0.18,0.39,0.78,1.12,-1.4,13.94,"I","EWG","halogen",0.17,0.17
"OH",0.12,-0.37,0.29,0.32,-0.67,-0.55,2.85,"O","EDG","hydroxyl",0.49,0.49
"OCH3",0.12,-0.27,0.27,0.36,-0.02,-0.55,7.87,"O","EDG","alkoxy",0.39,0.39
"OC2H5",0.1,-0.24,0.27,0.48,0.38,NA,12.47,"O","EDG","alkoxy",0.34,0.34
"SH",0.25,0.15,0.26,0.6,0.39,-1.07,9.22,"S","weak_EWG","thiol",0.1,0.1
"SCH3",0.15,0,0.23,0.64,0.61,-1.07,13.82,"S","neutral","thioether",0.15,0.15
"NO2",0.71,0.78,0.76,1.39,-0.28,-2.52,7.36,"N","EWG","nitro",-0.0700000000000001,0.0700000000000001
"NO",0.62,0.91,0.37,NA,-0.12,NA,5.2,"N","EWG","nitroso",-0.29,0.29
"NH2",-0.16,-0.66,0.12,NA,-1.23,-0.61,5.42,"N","EDG","amino",0.5,0.5
"NHCHO",0.19,0,0.27,NA,-0.98,NA,10.31,"N","neutral","amide",0.19,0.19
"NHCOCH3",0.07,-0.15,0.26,NA,-0.37,NA,16.53,"N","weak_EDG","amide",0.22,0.22
"N(CH3)2",-0.15,-0.83,0.06,0.43,0.18,NA,15.55,"N","EDG","amino",0.68,0.68
"N(CH3)3+",0.88,0.82,0.93,1.22,-5.96,NA,21.2,"N","EWG","ammonium",0.06,0.06
